,Unnamed: 0.1,Unnamed: 0,Market and Exchange Names,As of Date in Form YYYY-MM-DD,Open Interest (All),Noncommercial Positions-Long (All),Noncommercial Positions-Short (All),Change in Open Interest (All),Change in Noncommercial-Long (All),Change in Noncommercial-Short (All)
247,10489.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2020-05-05,50327,28639,10393,    -655,     -28,    -940
248,10490.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2020-04-28,50982,28667,11333,    1682,    2192,     145
249,10491.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2020-04-21,49300,26475,11188,   -3842,   -2651,    -142
250,10492.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2020-04-14,53142,29126,11330,    -902,   -1433,    -208
251,10493.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2020-04-07,54044,30559,11538,    -104,    -492,     335
252,10494.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2020-03-31,54148,31051,11203,   -9423,   -2156,     292
253,10495.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2020-03-24,63571,33207,10911,   -2704,   -4611,     740
254,10496.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2020-03-17,66275,37818,10171,   -9742,   -8450,   -2850
255,10497.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2020-03-10,76017,46268,13021,   -6034,   -3663,   -2873
256,10498.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2020-03-03,82051,49931,15894,  -15575,  -14042,    2122
257,10499.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2020-02-25,97626,63973,13772,   -4758,   -8086,    3328
258,10500.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2020-02-18,102384,72059,10444,    1760,     321,     546
259,10501.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2020-02-11,100624,71738,9898,    -652,   -1242,    -302
260,10502.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2020-02-04,101276,72980,10200,   -4180,   -4460,     356
261,10503.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2020-01-28,105456,77440,9844,    -480,    -512,    -717
