,Market and Exchange Names,As of Date in Form YYYY-MM-DD,Open Interest (All),Noncommercial Positions-Long (All),Noncommercial Positions-Short (All),Change in Open Interest (All),Change in Noncommercial-Long (All),Change in Noncommercial-Short (All)
106324,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2012-10-02,37313,12641,13625,     -15,    -926,    -846
106325,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2012-09-25,37328,13567,14471,   -1121,     -59,   -3682
106326,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2012-09-18,38449,13626,18153,  -19582,    1978,   -2462
106327,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2012-09-11,58031,11648,20615,    2082,    2635,   -1510
106328,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2012-09-04,55949,9013,22125,     523,   -1671,     -20
106329,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2012-08-28,55426,10684,22145,     807,    4763,     562
106330,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2012-08-21,54619,5921,21583,   -2154,    -219,   -3411
106331,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2012-08-14,56773,6140,24994,     394,    -631,     308
106332,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2012-08-07,56379,6771,24686,   -3157,    1362,     469
106333,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2012-07-31,59536,5409,24217,   -4839,     307,   -6830
106334,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2012-07-24,64375,5102,31047,    1539,   -1107,    1748
106335,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2012-07-17,62836,6209,29299,    4719,     394,    5900
106336,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2012-07-10,58117,5815,23399,    4795,     552,    -924
106337,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2012-07-03,53322,5263,24323,     875,     626,   -4150
106338,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2012-06-26,52447,4637,28473,   -3309,  -19471,   -2642
106339,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2012-06-19,55756,24108,31115,  -36267,   18888,   -7406
106340,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2012-06-12,92023,5220,38521,   20056,    -527,    -874
106341,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2012-06-05,71967,5747,39395,      72,   -1135,    1917
106342,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2012-05-29,71895,6882,37478,      63,    1981,   -2274
106343,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2012-05-22,71832,4901,39752,    8289,   -1226,    6931
106344,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2012-05-15,63543,6127,32821,   17826,    1147,   11347
106345,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2012-05-08,45717,4980,21474,    4060,    -712,    1471
106346,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2012-05-01,41657,5692,20003,    1502,    1380,    -950
106347,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2012-04-24,40155,4312,20953,   -1203,   -1728,    1151
106348,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2012-04-17,41358,6040,19802,    1363,    -508,    3335
106349,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2012-04-10,39995,6548,16467,   -3629,     -67,   -4824
106350,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2012-04-03,43624,6615,21291,     772,     322,     -98
106351,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2012-03-27,42852,6293,21389,    -764,   -5454,   -1549
106352,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2012-03-20,43616,11747,22938,  -12689,    2396,   -1211
106353,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2012-03-13,56305,9351,24149,    2656,    1237,   -3443
106354,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2012-03-06,53649,8114,27592,    1289,   -1661,   -1574
106355,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2012-02-28,52360,9775,29166,    1163,    1875,    1420
